Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Web/Home/link_findTransfer""))",Chrome 147.0.7727.138,,,13-05-2026 16:26:26,13-05-2026 16:26:27,1.126s,PASSED
driver = getWebDriver(),Chrome 147.0.7727.138,,,13-05-2026 16:26:27,13-05-2026 16:26:27,0.007s,PASSED
selectElement = new org.openqa.selenium.support.ui.Select(driver.findElement(org.openqa.selenium.By.cssSelector(#accountId))),Chrome 147.0.7727.138,,,13-05-2026 16:26:27,13-05-2026 16:26:27,0.407s,PASSED
options = selectElement.getOptions(),Chrome 147.0.7727.138,,,13-05-2026 16:26:27,13-05-2026 16:26:27,0.272s,PASSED
options.each({ java.lang.Object option -> ... }),Chrome 147.0.7727.138,,,13-05-2026 16:26:27,13-05-2026 16:26:27,0.066s,PASSED
"firstValue = get(0).getAttribute(""value"")",Chrome 147.0.7727.138,,,13-05-2026 16:26:27,13-05-2026 16:26:27,0.008s,PASSED
selectElement.selectByValue(firstValue),Chrome 147.0.7727.138,,,13-05-2026 16:26:27,13-05-2026 16:26:28,0.296s,PASSED
currentDate = common.WebHelper.getCurrentDate(),Chrome 147.0.7727.138,,,13-05-2026 16:26:28,13-05-2026 16:26:28,0.016s,PASSED
"setText(findTestObject(""Web/FindTransf/txt_fromDate""), currentDate)",Chrome 147.0.7727.138,,,13-05-2026 16:26:28,13-05-2026 16:26:28,0.616s,PASSED
"setText(findTestObject(""Web/FindTransf/txt_toDate""), currentDate)",Chrome 147.0.7727.138,,,13-05-2026 16:26:28,13-05-2026 16:26:29,0.607s,PASSED
"click(findTestObject(""Web/FindTransf/btn_findByDateRange""))",Chrome 147.0.7727.138,,,13-05-2026 16:26:29,13-05-2026 16:26:29,0.320s,PASSED
"waitForElementPresent(findTestObject(""Web/FindTransf/tbl_result""), 5)",Chrome 147.0.7727.138,,,13-05-2026 16:26:29,13-05-2026 16:26:30,0.699s,PASSED
